"id","event","event_date","data_name","data_value"
"145391","clientLogIn","2024-07-23T00:20:50:356Z","connection","keep-alive"
"145391","clientLogIn","2024-07-23T00:20:50:356Z","acceptLanguage","en-US,en;q=0.9"
"145391","clientLogIn","2024-07-23T00:20:50:356Z","acceptEncoding","gzip, deflate, br, zstd"
"145391","clientLogIn","2024-07-23T00:20:50:356Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"145391","clientLogIn","2024-07-23T00:20:50:356Z","host","nlab.ph.ucla.edu:9663"
"145391","clientLogIn","2024-07-23T00:20:50:356Z","ipAddress","68.237.46.115"
"145391","clientLogIn","2024-07-23T00:20:50:356Z","requestURI","/game/65/1378/12345/state"
"145391","clientLogIn","2024-07-23T00:20:50:356Z","clientId","12345"
"145391","clientLogIn","2024-07-23T00:20:50:356Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1378/12345/connected"
"145392","clientLogIn","2024-07-23T00:21:54:408Z","clientId","663f9ec312be4793d535c125"
"145392","clientLogIn","2024-07-23T00:21:54:408Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1378/663f9ec312be4793d535c125/connected?PROLIFIC_PID=663f9ec312be4793d535c125&STUDY_ID=669ef75a8d1fbee578beb027&SESSION_ID=669ef795f62bf7fb6b54ca5f"
"145392","clientLogIn","2024-07-23T00:21:54:408Z","connection","keep-alive"
"145392","clientLogIn","2024-07-23T00:21:54:408Z","acceptLanguage","en-US,en;q=0.9,es;q=0.8"
"145392","clientLogIn","2024-07-23T00:21:54:408Z","acceptEncoding","gzip, deflate, br, zstd"
"145392","clientLogIn","2024-07-23T00:21:54:408Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
"145392","clientLogIn","2024-07-23T00:21:54:408Z","host","nlab.ph.ucla.edu:9663"
"145392","clientLogIn","2024-07-23T00:21:54:408Z","ipAddress","99.7.17.74"
"145392","clientLogIn","2024-07-23T00:21:54:408Z","requestURI","/game/65/1378/663f9ec312be4793d535c125/state"
"145393","clientLogIn","2024-07-23T00:21:56:561Z","clientId","669a7304203c7a581592503e"
"145393","clientLogIn","2024-07-23T00:21:56:561Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1378/669a7304203c7a581592503e/connected?PROLIFIC_PID=669a7304203c7a581592503e&STUDY_ID=669ef75a8d1fbee578beb027&SESSION_ID=669ef79c054679cffbda2665"
"145393","clientLogIn","2024-07-23T00:21:56:561Z","connection","keep-alive"
"145393","clientLogIn","2024-07-23T00:21:56:561Z","acceptLanguage","en-US,en;q=0.5"
"145393","clientLogIn","2024-07-23T00:21:56:561Z","acceptEncoding","gzip, deflate, br, zstd"
"145393","clientLogIn","2024-07-23T00:21:56:561Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:127.0) Gecko/20100101 Firefox/127.0"
"145393","clientLogIn","2024-07-23T00:21:56:561Z","host","nlab.ph.ucla.edu:9663"
"145393","clientLogIn","2024-07-23T00:21:56:561Z","ipAddress","147.160.220.177"
"145393","clientLogIn","2024-07-23T00:21:56:561Z","requestURI","/game/65/1378/669a7304203c7a581592503e/state"
"145394","clientLogIn","2024-07-23T00:22:03:356Z","clientId","65c31cd8f8e10f049c11db6f"
"145394","clientLogIn","2024-07-23T00:22:03:356Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1378/65c31cd8f8e10f049c11db6f/connected?PROLIFIC_PID=65c31cd8f8e10f049c11db6f&STUDY_ID=669ef75a8d1fbee578beb027&SESSION_ID=669ef7a0be7b68561783fe17"
"145394","clientLogIn","2024-07-23T00:22:03:356Z","connection","keep-alive"
"145394","clientLogIn","2024-07-23T00:22:03:356Z","acceptLanguage","en-US,en;q=0.9"
"145394","clientLogIn","2024-07-23T00:22:03:356Z","acceptEncoding","gzip, deflate, br, zstd"
"145394","clientLogIn","2024-07-23T00:22:03:356Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"145394","clientLogIn","2024-07-23T00:22:03:356Z","host","nlab.ph.ucla.edu:9663"
"145394","clientLogIn","2024-07-23T00:22:03:356Z","ipAddress","60.242.122.10"
"145394","clientLogIn","2024-07-23T00:22:03:356Z","requestURI","/game/65/1378/65c31cd8f8e10f049c11db6f/state"
"145395","clientLogIn","2024-07-23T00:22:05:095Z","clientId","66989e51ac2968bc6484d4d9"
"145395","clientLogIn","2024-07-23T00:22:05:095Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1378/66989e51ac2968bc6484d4d9/connected?PROLIFIC_PID=66989e51ac2968bc6484d4d9&STUDY_ID=669ef75a8d1fbee578beb027&SESSION_ID=669ef7a1b6a64033f7203c38"
"145395","clientLogIn","2024-07-23T00:22:05:095Z","connection","keep-alive"
"145395","clientLogIn","2024-07-23T00:22:05:095Z","acceptLanguage","en-US,en;q=0.9"
"145395","clientLogIn","2024-07-23T00:22:05:095Z","acceptEncoding","gzip, deflate, br, zstd"
"145395","clientLogIn","2024-07-23T00:22:05:095Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
"145395","clientLogIn","2024-07-23T00:22:05:095Z","host","nlab.ph.ucla.edu:9663"
"145395","clientLogIn","2024-07-23T00:22:05:095Z","ipAddress","97.97.0.179"
"145395","clientLogIn","2024-07-23T00:22:05:095Z","requestURI","/game/65/1378/66989e51ac2968bc6484d4d9/state"
