"","vax","work_l","pe_combined"
"1",50.5,34.1380952380952,0.046957058773
"2",50.5,35.1380952380952,0.057792712062339
"3",50.5,36.1380952380952,0.065091764782222
"4",50.5,37.1380952380952,0.0785614798890654
"5",50.5,38.1380952380952,0.0886803378711257
"6",50.5,39.1380952380952,0.0996546753863365
"7",50.5,40.1380952380952,0.108511902113625
"8",50.5,41.1380952380952,0.119797687413978
"9",50.5,42.1380952380952,0.130398701596813
"10",50.5,43.1380952380952,0.140869768201081
"11",50.5,44.1380952380952,0.150913154822857
"12",50.5,45.1380952380952,0.16370797790478
"13",50.5,46.1380952380952,0.171514217677483
"14",50.5,47.1380952380952,0.183495487774133
"15",50.5,48.1380952380952,0.193347653487114
"16",50.5,49.1380952380952,0.203396264237885
"17",50.5,50.1380952380952,0.214260106629474
"18",50.5,51.1380952380952,0.224903692228908
"19",50.5,52.1380952380952,0.236583611773717
"20",50.5,53.1380952380952,0.243766758975142
"21",50.5,54.1380952380952,0.256167239592324
"22",50.5,55.1380952380952,0.265522859775995
"23",50.5,56.1380952380952,0.278661021281273
"24",50.5,57.1380952380952,0.289113738618756
"25",50.5,58.1380952380952,0.297707779872928
"26",50.5,59.1380952380952,0.308721298290609
"27",50.5,60.1380952380952,0.318837886669274
"28",50.5,61.1380952380952,0.330234451695142
"29",50.5,62.1380952380952,0.340055389092745
"30",50.5,63.1380952380952,0.35048646016245
"31",50.5,64.1380952380952,0.3609334831658
"32",50.5,65.1380952380952,0.372161249543262
"33",50.5,66.1380952380952,0.381339641204737
"34",50.5,67.1380952380952,0.392930710023572
"35",50.5,68.1380952380952,0.401166906741672
"36",50.5,69.1380952380952,0.414143896481133
"37",50.5,70.1380952380952,0.424335639775716
"38",50.5,71.1380952380952,0.433841067811512
"39",50.5,72.1380952380952,0.443993118952694
"40",50.5,73.1380952380952,0.454025031308223
"41",50.5,74.1380952380952,0.466109694465172
"42",50.5,75.1380952380952,0.477017684184968
"43",51.5,34.1380952380952,0.0527286325095608
"44",51.5,35.1380952380952,0.0637794264888135
"45",51.5,36.1380952380952,0.075394122298927
"46",51.5,37.1380952380952,0.085363896135578
"47",51.5,38.1380952380952,0.0935024637843308
"48",51.5,39.1380952380952,0.105263509580318
"49",51.5,40.1380952380952,0.11518352542008
"50",51.5,41.1380952380952,0.126989111151314
"51",51.5,42.1380952380952,0.136804696041501
"52",51.5,43.1380952380952,0.147571972362819
"53",51.5,44.1380952380952,0.158099921154103
"54",51.5,45.1380952380952,0.168441537252728
"55",51.5,46.1380952380952,0.179615312712411
"56",51.5,47.1380952380952,0.188982364329318
"57",51.5,48.1380952380952,0.199497231554518
"58",51.5,49.1380952380952,0.210017768455456
"59",51.5,50.1380952380952,0.220186603475946
"60",51.5,51.1380952380952,0.231332334491551
"61",51.5,52.1380952380952,0.242335396597423
"62",51.5,53.1380952380952,0.251498447336444
"63",51.5,54.1380952380952,0.263863774418933
"64",51.5,55.1380952380952,0.271348347731933
"65",51.5,56.1380952380952,0.283854369334851
"66",51.5,57.1380952380952,0.292916822574999
"67",51.5,58.1380952380952,0.305014104179884
"68",51.5,59.1380952380952,0.316857670647811
"69",51.5,60.1380952380952,0.325663528309824
"70",51.5,61.1380952380952,0.335609289698394
"71",51.5,62.1380952380952,0.345354545083762
"72",51.5,63.1380952380952,0.35730552512341
"73",51.5,64.1380952380952,0.366867913751008
"74",51.5,65.1380952380952,0.37730467068923
"75",51.5,66.1380952380952,0.386742552669896
"76",51.5,67.1380952380952,0.399369673957814
"77",51.5,68.1380952380952,0.409980049289783
"78",51.5,69.1380952380952,0.420386836557288
"79",51.5,70.1380952380952,0.430661293034482
"80",51.5,71.1380952380952,0.440783186776142
"81",51.5,72.1380952380952,0.452001854230323
"82",51.5,73.1380952380952,0.461573463542056
"83",51.5,74.1380952380952,0.471831810545349
"84",51.5,75.1380952380952,0.482239305376493
"85",52.5,34.1380952380952,0.0585176885238847
"86",52.5,35.1380952380952,0.0683875213140645
"87",52.5,36.1380952380952,0.0795897215014694
"88",52.5,37.1380952380952,0.0901690970975452
"89",52.5,38.1380952380952,0.100337431686408
"90",52.5,39.1380952380952,0.11094942409161
"91",52.5,40.1380952380952,0.12182323462435
"92",52.5,41.1380952380952,0.132012287957374
"93",52.5,42.1380952380952,0.14301923316425
"94",52.5,43.1380952380952,0.154264512273715
"95",52.5,44.1380952380952,0.162657455763864
"96",52.5,45.1380952380952,0.174365191021994
"97",52.5,46.1380952380952,0.183532449238787
"98",52.5,47.1380952380952,0.195581071295522
"99",52.5,48.1380952380952,0.206228404314021
"100",52.5,49.1380952380952,0.214011708642749
"101",52.5,50.1380952380952,0.22530976746358
"102",52.5,51.1380952380952,0.237436115689387
"103",52.5,52.1380952380952,0.24768483019465
"104",52.5,53.1380952380952,0.256572143370429
"105",52.5,54.1380952380952,0.26910639827194
"106",52.5,55.1380952380952,0.279042849887139
"107",52.5,56.1380952380952,0.289491451492193
"108",52.5,57.1380952380952,0.299879495207905
"109",52.5,58.1380952380952,0.310113560873259
"110",52.5,59.1380952380952,0.321208618570706
"111",52.5,60.1380952380952,0.330602343428377
"112",52.5,61.1380952380952,0.340952824731249
"113",52.5,62.1380952380952,0.352148116858647
"114",52.5,63.1380952380952,0.364169911264368
"115",52.5,64.1380952380952,0.374989822777588
"116",52.5,65.1380952380952,0.383257304704762
"117",52.5,66.1380952380952,0.394545920799369
"118",52.5,67.1380952380952,0.405282748419187
"119",52.5,68.1380952380952,0.414997107786232
"120",52.5,69.1380952380952,0.426637702872425
"121",52.5,70.1380952380952,0.436154212143686
"122",52.5,71.1380952380952,0.447220602076521
"123",52.5,72.1380952380952,0.457247998701524
"124",52.5,73.1380952380952,0.467028363667597
"125",52.5,74.1380952380952,0.47858598243669
"126",52.5,75.1380952380952,0.489632362667571
"127",53.5,34.1380952380952,0.0660197946957932
"128",53.5,35.1380952380952,0.0749755122580204
"129",53.5,36.1380952380952,0.0876991661273537
"130",53.5,37.1380952380952,0.0963702368506003
"131",53.5,38.1380952380952,0.109362168650683
"132",53.5,39.1380952380952,0.117514349206328
"133",53.5,40.1380952380952,0.12589449627437
"134",53.5,41.1380952380952,0.139452732822068
"135",53.5,42.1380952380952,0.146574679145233
"136",53.5,43.1380952380952,0.159202491502283
"137",53.5,44.1380952380952,0.170560052449204
"138",53.5,45.1380952380952,0.181223876636176
"139",53.5,46.1380952380952,0.191410593391294
"140",53.5,47.1380952380952,0.201698187370077
"141",53.5,48.1380952380952,0.211228701870455
"142",53.5,49.1380952380952,0.220945758255799
"143",53.5,50.1380952380952,0.232462171501787
"144",53.5,51.1380952380952,0.243816773256263
"145",53.5,52.1380952380952,0.252539720772923
"146",53.5,53.1380952380952,0.264160855524856
"147",53.5,54.1380952380952,0.275609423730801
"148",53.5,55.1380952380952,0.285556668196456
"149",53.5,56.1380952380952,0.294536499816096
"150",53.5,57.1380952380952,0.306920847653282
"151",53.5,58.1380952380952,0.315506388469701
"152",53.5,59.1380952380952,0.326154356396757
"153",53.5,60.1380952380952,0.337277017402214
"154",53.5,61.1380952380952,0.347661862919045
"155",53.5,62.1380952380952,0.359975218141661
"156",53.5,63.1380952380952,0.368595550697312
"157",53.5,64.1380952380952,0.381495657645445
"158",53.5,65.1380952380952,0.390874525739568
"159",53.5,66.1380952380952,0.400663108153857
"160",53.5,67.1380952380952,0.410958975685496
"161",53.5,68.1380952380952,0.421191049243676
"162",53.5,69.1380952380952,0.431769379017802
"163",53.5,70.1380952380952,0.441326483212215
"164",53.5,71.1380952380952,0.453738990961831
"165",53.5,72.1380952380952,0.464551765203446
"166",53.5,73.1380952380952,0.473792111768312
"167",53.5,74.1380952380952,0.483629879573007
"168",53.5,75.1380952380952,0.494263435795349
"169",54.5,34.1380952380952,0.0713633397979824
"170",54.5,35.1380952380952,0.0821004296474409
"171",54.5,36.1380952380952,0.0903779547379782
"172",54.5,37.1380952380952,0.102815097723287
"173",54.5,38.1380952380952,0.113200485042321
"174",54.5,39.1380952380952,0.122539320782278
"175",54.5,40.1380952380952,0.133462490954886
"176",54.5,41.1380952380952,0.14618104220906
"177",54.5,42.1380952380952,0.155337106831178
"178",54.5,43.1380952380952,0.16608629706549
"179",54.5,44.1380952380952,0.176920588680626
"180",54.5,45.1380952380952,0.187739890952583
"181",54.5,46.1380952380952,0.196727775325697
"182",54.5,47.1380952380952,0.206381074714143
"183",54.5,48.1380952380952,0.217467382672825
"184",54.5,49.1380952380952,0.227651942932797
"185",54.5,50.1380952380952,0.23914733905861
"186",54.5,51.1380952380952,0.24981562847501
"187",54.5,52.1380952380952,0.260514167486044
"188",54.5,53.1380952380952,0.269985027899017
"189",54.5,54.1380952380952,0.280103577360767
"190",54.5,55.1380952380952,0.291358722205268
"191",54.5,56.1380952380952,0.302035969749199
"192",54.5,57.1380952380952,0.311352342795557
"193",54.5,58.1380952380952,0.323585549058557
"194",54.5,59.1380952380952,0.333693814840105
"195",54.5,60.1380952380952,0.342802841043497
"196",54.5,61.1380952380952,0.353244749669297
"197",54.5,62.1380952380952,0.365694708290891
"198",54.5,63.1380952380952,0.37570136371395
"199",54.5,64.1380952380952,0.386669870393585
"200",54.5,65.1380952380952,0.395998577432836
"201",54.5,66.1380952380952,0.405899752361702
