fips,asian
2013,20.6
2016,42.2
2020,11.8
2050,1.2
2060,0.4
2068,2.5
2070,1.4
2090,3.6
2100,1.4
2105,1.5
2110,7.4
2122,1.9
2130,8.1
2150,23
2164,2
2170,1.5
2180,1.6
2185,7.2
2188,1.1
2195,5.1
2198,2
2220,6.7
2230,0.8
2240,2.7
2261,4.6
2158,0.1
2275,1
2282,6.1
2290,0.7
6001,30
6005,1.3
6007,4.6
6009,1.5
6011,1.4
6013,16.9
6015,3.2
6017,4.7
6021,2.9
6023,3.3
6031,3.8
6033,1.1
6035,2.1
6041,5.9
6043,1.5
6045,2.2
6047,7.4
6049,1.2
6053,5.8
6055,8.2
6057,1.1
6061,7.5
6063,1.5
6067,15.5
6069,2.9
6075,34.4
6077,15.7
6079,3.6
6081,28.4
6083,5.4
6085,36.6
6087,4.6
6089,3.3
6091,0
6093,1.8
6095,15.8
6097,4.3
6099,6
6101,15.9
6103,1.5
6105,1.8
6109,1.5
6113,14.2
6115,7
15001,22.9
15003,42.6
15005,48.4
15007,39.1
15009,29.8
41003,7.2
41005,4.4
41007,1.2
41009,1.1
41011,1
41013,0.7
41015,0.5
41017,1.2
41019,1
41021,1.4
41027,1.6
41029,1.6
41031,0.7
41033,1
41035,1
41037,0.9
41039,2.8
41041,1.4
41043,1.1
41047,2.8
41051,7.9
41053,2.3
41055,1.5
41057,1.1
41065,1.5
41067,10.9
41069,0.4
41071,1.6
53007,0.8
53009,1.7
53011,5.2
53015,1.4
53027,1.7
53029,5.2
53031,1.7
53033,17.5
53035,5.5
53037,2.4
53039,0.6
53041,1.4
53045,1.5
53047,1.1
53049,2
53053,6.3
53055,1.5
53057,2.1
53059,1.2
53061,11.2
53067,6.4
53069,1.8
53073,4.3
53077,1
4001,0.3
4003,2.2
4005,2
4007,0.7
4009,0.7
4011,0.5
4012,0.7
4013,4.2
4015,1.2
4017,0.7
4019,2.9
4021,1.8
4023,0.8
4025,0.9
4027,1.2
6003,0.9
6019,10.2
6025,1.4
6027,1.9
6029,4.7
6037,14.6
6039,2
6051,2.5
6059,20.5
6065,6.5
6071,7.2
6073,11.6
6107,3.3
6111,7.3
8007,1
8029,0.8
8033,0
8045,0.9
8051,0.5
8053,0.4
8067,0.7
8077,1
8079,0.4
8081,0.1
8083,0.8
8085,1
8091,0.7
8097,2.2
8103,0.1
8107,1.1
8111,0
8113,1.6
16001,2.6
16005,1.9
16007,0.6
16011,0.6
16013,0.9
16015,0.9
16019,1
16023,0
16025,0
16027,1
16029,0
16031,0.6
16033,0
16037,0
16039,2.9
16041,0.1
16043,0.8
16045,0.5
16047,1.1
16051,0.4
16053,0.8
16063,0.4
16065,1.7
16067,0.2
16071,0
16073,0.1
16075,0.9
16077,0
16081,0
16083,1.7
16087,0.3
32001,2.8
32003,9.6
32005,1.8
32007,1.2
32009,0
32011,0.6
32013,0.6
32015,0.1
32017,0.8
32019,1.4
32021,1.2
32023,2.1
32027,1.2
32029,0.9
32031,5.8
32033,1
32510,2.6
35003,0
35006,0.1
35013,1
35017,0.4
35023,0
35029,0.8
35031,1
35043,1.3
35045,0.6
35051,0.7
35053,3.2
35061,0.5
41023,1
41025,0
41045,1.4
49001,0.2
49003,0.8
49005,2.3
49007,0.1
49009,0
49011,2.4
49013,0.8
49015,0.9
49017,0.2
49019,2.1
49021,0.9
49023,0
49025,0.4
49027,1.2
49029,0.2
49031,0
49033,0
49035,4.1
49037,0.7
49039,1.5
49041,0.1
49043,1.7
49045,1.3
49047,0.5
49049,2.3
49051,1.1
49053,1.5
49055,1.8
49057,1.3
56003,0.5
56007,0.9
56013,0.4
56017,0
56023,0.2
56025,0.7
56029,0.5
56035,0
56037,0.7
56039,1.3
56041,0.1
56043,0
22031,0.1
48001,0.5
48005,1.1
48007,1.9
48013,0.3
48015,0.3
48019,0.2
48021,0.8
48025,0.5
48027,3.4
48029,2.8
48031,1.8
48035,0.5
48039,6.6
48041,6.1
48043,1.4
