"","vax","work","pe_combined"
"1",50.5,19.1127272727273,0.0775718988208719
"2",50.5,20.1127272727273,0.0794519419713519
"3",50.5,21.1127272727273,0.0791502837429097
"4",50.5,22.1127272727273,0.0749664441890657
"5",50.5,23.1127272727273,0.0756018271581051
"6",50.5,24.1127272727273,0.068560516113492
"7",50.5,25.1127272727273,0.0666819892689541
"8",50.5,26.1127272727273,0.0645241018065425
"9",50.5,27.1127272727273,0.0632699703977425
"10",50.5,28.1127272727273,0.0629132166160318
"11",50.5,29.1127272727273,0.0617943765584479
"12",50.5,30.1127272727273,0.0532443001917568
"13",50.5,31.1127272727273,0.0605816186188774
"14",50.5,32.1127272727273,0.0561263498043208
"15",50.5,33.1127272727273,0.0481033158493897
"16",50.5,34.1127272727273,0.0532508757725093
"17",50.5,35.1127272727273,0.0420030797524369
"18",50.5,36.1127272727273,0.0465397034133427
"19",50.5,37.1127272727273,0.0462554483297158
"20",50.5,38.1127272727273,0.0414133744860654
"21",50.5,39.1127272727273,0.0391360511475178
"22",50.5,40.1127272727273,0.0339806728922472
"23",50.5,41.1127272727273,0.03927648009783
"24",50.5,42.1127272727273,0.0347930506399864
"25",50.5,43.1127272727273,0.0304191708506416
"26",50.5,44.1127272727273,0.0308695653644229
"27",50.5,45.1127272727273,0.0279960187305916
"28",50.5,46.1127272727273,0.031379859457746
"29",50.5,47.1127272727273,0.0202520758669244
"30",50.5,48.1127272727273,0.0221837150864248
"31",50.5,49.1127272727273,0.0205360402611952
"32",50.5,50.1127272727273,0.0145737772453239
"33",50.5,51.1127272727273,0.018936753178014
"34",50.5,52.1127272727273,0.0161327155089297
"35",50.5,53.1127272727273,0.0110413484681909
"36",50.5,54.1127272727273,0.0144019804593341
"37",50.5,55.1127272727273,0.00721546507349985
"38",50.5,56.1127272727273,0.00883415897397366
"39",50.5,57.1127272727273,0.00163045808381927
"40",50.5,58.1127272727273,0.00631098746327217
"41",50.5,59.1127272727273,-0.00633550733937567
"42",51.5,19.1127272727273,0.101604500147209
"43",51.5,20.1127272727273,0.0993388470476669
"44",51.5,21.1127272727273,0.0964407642689182
"45",51.5,22.1127272727273,0.0934449454947819
"46",51.5,23.1127272727273,0.0964790397163046
"47",51.5,24.1127272727273,0.0884701098038791
"48",51.5,25.1127272727273,0.0854766931783512
"49",51.5,26.1127272727273,0.0862502807780672
"50",51.5,27.1127272727273,0.0845456351717555
"51",51.5,28.1127272727273,0.0773658249143152
"52",51.5,29.1127272727273,0.0768868688793956
"53",51.5,30.1127272727273,0.0812988133784103
"54",51.5,31.1127272727273,0.0774835995381554
"55",51.5,32.1127272727273,0.0762597771055226
"56",51.5,33.1127272727273,0.0684776433206765
"57",51.5,34.1127272727273,0.0699532670854641
"58",51.5,35.1127272727273,0.0692312864269964
"59",51.5,36.1127272727273,0.0669531524318045
"60",51.5,37.1127272727273,0.0623324943079118
"61",51.5,38.1127272727273,0.0603705338322118
"62",51.5,39.1127272727273,0.0579425579971722
"63",51.5,40.1127272727273,0.0577840627085508
"64",51.5,41.1127272727273,0.0576557972402387
"65",51.5,42.1127272727273,0.0513841506665347
"66",51.5,43.1127272727273,0.052843178925461
"67",51.5,44.1127272727273,0.049802964683536
"68",51.5,45.1127272727273,0.0499272628383162
"69",51.5,46.1127272727273,0.0457650788873264
"70",51.5,47.1127272727273,0.0461978094927351
"71",51.5,48.1127272727273,0.0389148321839051
"72",51.5,49.1127272727273,0.0382088235668351
"73",51.5,50.1127272727273,0.0453984573746786
"74",51.5,51.1127272727273,0.041135265592371
"75",51.5,52.1127272727273,0.0347846951648378
"76",51.5,53.1127272727273,0.035880538656195
"77",51.5,54.1127272727273,0.030838531710235
"78",51.5,55.1127272727273,0.0290327890960556
"79",51.5,56.1127272727273,0.0259484932000275
"80",51.5,57.1127272727273,0.0246383018006442
"81",51.5,58.1127272727273,0.0165263175274272
"82",51.5,59.1127272727273,0.0222053617848509
"83",52.5,19.1127272727273,0.118983549901872
"84",52.5,20.1127272727273,0.123339379172639
"85",52.5,21.1127272727273,0.114932250153074
"86",52.5,22.1127272727273,0.114236809736727
"87",52.5,23.1127272727273,0.108741166166049
"88",52.5,24.1127272727273,0.107325998992998
"89",52.5,25.1127272727273,0.108004315180054
"90",52.5,26.1127272727273,0.103446239526613
"91",52.5,27.1127272727273,0.102380197438971
"92",52.5,28.1127272727273,0.101831710064116
"93",52.5,29.1127272727273,0.098245133183096
"94",52.5,30.1127272727273,0.0983711903128456
"95",52.5,31.1127272727273,0.092089666012908
"96",52.5,32.1127272727273,0.0926423856493143
"97",52.5,33.1127272727273,0.0889850898431535
"98",52.5,34.1127272727273,0.0905074355164318
"99",52.5,35.1127272727273,0.0873694033134354
"100",52.5,36.1127272727273,0.0845734757701074
"101",52.5,37.1127272727273,0.0826287706315007
"102",52.5,38.1127272727273,0.0788265823668679
"103",52.5,39.1127272727273,0.0779683234544715
"104",52.5,40.1127272727273,0.0778616566972982
"105",52.5,41.1127272727273,0.0807234526744741
"106",52.5,42.1127272727273,0.0715248567444221
"107",52.5,43.1127272727273,0.0722360637737667
"108",52.5,44.1127272727273,0.071559787249525
"109",52.5,45.1127272727273,0.066678205241328
"110",52.5,46.1127272727273,0.066335532955547
"111",52.5,47.1127272727273,0.0661736006624656
"112",52.5,48.1127272727273,0.0615762443961597
"113",52.5,49.1127272727273,0.0559004536458296
"114",52.5,50.1127272727273,0.0569891857243824
"115",52.5,51.1127272727273,0.0517728929139072
"116",52.5,52.1127272727273,0.0490919036454596
"117",52.5,53.1127272727273,0.0469014414663608
"118",52.5,54.1127272727273,0.0493271339179661
"119",52.5,55.1127272727273,0.0472527115493665
"120",52.5,56.1127272727273,0.0441571249313879
"121",52.5,57.1127272727273,0.044264583646999
"122",52.5,58.1127272727273,0.042112059067746
"123",52.5,59.1127272727273,0.0402487312174251
"124",53.5,19.1127272727273,0.138268388140181
"125",53.5,20.1127272727273,0.135776049543048
"126",53.5,21.1127272727273,0.137363892972927
"127",53.5,22.1127272727273,0.137255248513045
"128",53.5,23.1127272727273,0.130948922373339
"129",53.5,24.1127272727273,0.132877532538383
"130",53.5,25.1127272727273,0.121532223592798
"131",53.5,26.1127272727273,0.123721582551095
"132",53.5,27.1127272727273,0.124185457863402
"133",53.5,28.1127272727273,0.121080757880588
"134",53.5,29.1127272727273,0.119233851995146
"135",53.5,30.1127272727273,0.113913262500558
"136",53.5,31.1127272727273,0.118859263188408
"137",53.5,32.1127272727273,0.113605778829174
"138",53.5,33.1127272727273,0.113309241497983
"139",53.5,34.1127272727273,0.109173590369956
"140",53.5,35.1127272727273,0.103921828714006
"141",53.5,36.1127272727273,0.106179585559132
"142",53.5,37.1127272727273,0.100902643588201
"143",53.5,38.1127272727273,0.0983485211352148
"144",53.5,39.1127272727273,0.0958427522097438
"145",53.5,40.1127272727273,0.0962228789687765
"146",53.5,41.1127272727273,0.0951301150852144
"147",53.5,42.1127272727273,0.0868903182018969
"148",53.5,43.1127272727273,0.094534495885199
"149",53.5,44.1127272727273,0.0858037779051777
"150",53.5,45.1127272727273,0.0859366347176462
"151",53.5,46.1127272727273,0.0820520722490321
"152",53.5,47.1127272727273,0.0854264847452386
"153",53.5,48.1127272727273,0.0795380539511793
"154",53.5,49.1127272727273,0.0752203942931873
"155",53.5,50.1127272727273,0.0740568529292345
"156",53.5,51.1127272727273,0.0727835021448017
"157",53.5,52.1127272727273,0.0716927023343221
"158",53.5,53.1127272727273,0.0696911374112052
"159",53.5,54.1127272727273,0.0717051594570135
"160",53.5,55.1127272727273,0.0663838163067407
"161",53.5,56.1127272727273,0.0624477753689198
"162",53.5,57.1127272727273,0.0653284575988606
"163",53.5,58.1127272727273,0.057773390246414
"164",53.5,59.1127272727273,0.0582623626556684
"165",54.5,19.1127272727273,0.157809036536976
"166",54.5,20.1127272727273,0.152347053413827
"167",54.5,21.1127272727273,0.157814448699737
"168",54.5,22.1127272727273,0.153848326765752
"169",54.5,23.1127272727273,0.147340755474444
"170",54.5,24.1127272727273,0.147288458148156
"171",54.5,25.1127272727273,0.144039845079877
"172",54.5,26.1127272727273,0.141358069400538
"173",54.5,27.1127272727273,0.140459047847787
"174",54.5,28.1127272727273,0.137375608469797
"175",54.5,29.1127272727273,0.139056782641007
"176",54.5,30.1127272727273,0.139121838896927
