"id","event","event_date","data_name","data_value"
"70625","clientLogIn","2023-07-25T05:27:58:443Z","clientId","3TOK3KHVJVNZRR7WILNUASG2EUW7O7"
"70625","clientLogIn","2023-07-25T05:27:58:443Z","referer","https://nlab.ph.ucla.edu:9663/game/41/801/3TOK3KHVJVNZRR7WILNUASG2EUW7O7/connected?connectionSpeed="
"70625","clientLogIn","2023-07-25T05:27:58:443Z","connection","keep-alive"
"70625","clientLogIn","2023-07-25T05:27:58:443Z","acceptLanguage","en-US,en;q=0.9"
"70625","clientLogIn","2023-07-25T05:27:58:443Z","acceptEncoding","gzip, deflate, br"
"70625","clientLogIn","2023-07-25T05:27:58:443Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
"70625","clientLogIn","2023-07-25T05:27:58:443Z","host","nlab.ph.ucla.edu:9663"
"70625","clientLogIn","2023-07-25T05:27:58:443Z","ipAddress","63.92.70.166"
"70625","clientLogIn","2023-07-25T05:27:58:443Z","requestURI","/game/41/801/3TOK3KHVJVNZRR7WILNUASG2EUW7O7/state"
"70626","clientLogIn","2023-07-25T05:27:59:683Z","clientId","3CTOC39K39VLQGGZ28VP2WZGF0M7JO"
"70626","clientLogIn","2023-07-25T05:27:59:683Z","referer","https://nlab.ph.ucla.edu:9663/game/41/801/3CTOC39K39VLQGGZ28VP2WZGF0M7JO/connected?connectionSpeed="
"70626","clientLogIn","2023-07-25T05:27:59:683Z","connection","keep-alive"
"70626","clientLogIn","2023-07-25T05:27:59:683Z","acceptLanguage","en-US,en;q=0.9"
"70626","clientLogIn","2023-07-25T05:27:59:683Z","acceptEncoding","gzip, deflate, br"
"70626","clientLogIn","2023-07-25T05:27:59:683Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
"70626","clientLogIn","2023-07-25T05:27:59:683Z","host","nlab.ph.ucla.edu:9663"
"70626","clientLogIn","2023-07-25T05:27:59:683Z","ipAddress","196.51.38.244"
"70626","clientLogIn","2023-07-25T05:27:59:683Z","requestURI","/game/41/801/3CTOC39K39VLQGGZ28VP2WZGF0M7JO/state"
"70627","clientLogIn","2023-07-25T05:28:02:003Z","clientId","3HYA4D452TOYZDXXD6N9R7QGBDJF2D"
